AFIADOR DE FACAS,20,5,30,min,"0,05"
APARELHO DE SOM PEQUENO,20,30,4,h,"2,4"
AQUECEDOR DE AMBIENTE,1550,15,8,h,"186,0"
AQUECEDOR DE MAMADEIRA,100,30,15,min,"0,75"
ASPIRADOR DE PO,100,30,20,min,"10,0"
BATEDEIRA,120,8,30,h,"0,48"
BOILER 50 e 60 L,1500,30,6,h,"270,0"
BOILER 100 L,2030,30,6,h,"365,4"
BOILER 200 a 500 L,3000,30,6,h,"540,0"
BOMBA D'AGUA 1/4 CV,335,30,30,min,"5,02"
BOMBA D'AGUA 1/2 CV,613,30,30,min,"9,20"
BOMBA D'AGUA 3/4 CV,849,30,30,min,"12,74"
BOMBA D'AGUA 1 CV,1051,30,30,min,"15,77"
BOMBA AQUARIO GRANDE,10,30,24,h,"7,2"
BOMBA AQUARIO PEQUENO,5,30,24,h,"3,6"
CAFETEIRA ELETRICA,600,30,1,h,"18,0"
CHURRASQUEIRA,3800,5,4,h,"76,0"
CHUVEIRO ELETRICO,3500,30,40,min,"70,0"
CIRCULADOR AR GRANDE,200,30,8,h,"48,0"
CIRCULADOR AR PEQUENO/MEDIO,90,30,8,h,"21,6"
ENCERADEIRA,500,2,2,h,"2,0"
ESPREMEDOR DE FRUTAS,65,20,10,min,"0,22"
EXAUSTOR FOGAO,170,30,4,h,"20,4"
EXAUSTOR PAREDE,110,30,4,h,"13,2"
FACA ELETRICA,220,5,10,min,"0,18"
FERRO ELETRICO AUTOMATICO,1000,12,1,h,"12,0"
FOGAO COMUM,60,30,5,min,"0,15"
FORNO MICROONDAS,1200,30,2O,min,"12,0"
FRITADEIRA ELETRICA,1000,15,30,min,"7,5"
GRILL,900,10,30,min,"4,5"
IOGURTEIRA,26,10,30,min,"0,1"
LAMPADA INCANDESCENTE - 40 W,40,30,5,h,"6,0"
LAMPADA INCANDESCENTE - 60 W,60,30,5,h,"9,0"
LAMPADA INCANDESCENTE -100 W,100,30,5,h,"15,0"
LAVADORA DE LOUCAS,1500,30,40,min,"30,0"
LAVADORA DE ROUPAS,500,12,1,h,"6,0"
LIQUIDIFICADOR,300,15,15,min,"1,1"
MAQUINA DE COSTURA,100,10,3,h,"3,9"
MAQUINA DE FURAR,350,1,1,h,"0,35"
MICROCOMPUTADOR,120,30,3,h,"10,8"
MOEDOR DE CARNES,320,20,20,min,"1,2"
MULTIPROCESSADOR,420,20,1,h,"8,4"
NEBULIZADOR,40,5,8,h,"1,6"
OZONIZADOR,100,30,10,h,"30,0"
PANELA ELETRICA,1100,20,2,h,"44,0"
PIPOQUEIRA,1100,10,15,min,"2,75"
RADIO ELETRICO GRANDE,45,30,10,h,"13,5"
RADIO ELETRICO PEQUENO,10,30,10,h,"3,0"
RADIO RELOGIO,5,30,24,h,"3,6"
SAUNA,5000,5,1,h,"25,0"
SECADOR DE CABELO GRANDE,1400,30,10,min,"7,0"
SECADOR DE CABELOS PEQUENO,600,30,15,h,"4,5"
SECADORA DE ROUPA GRANDE,3500,12,1,h,"42,0"
SECADORA DE ROUPA PEQUENA,1000,8,1,h,8
SECRETARIA ELETRONICA,20,30,24,h,"14,4"
SORVETEIRA,15,5,2,h,"0,1"
TORNEIRA ELETRICA,3500,30,30,min,"52,5"
TORRADEIRA,800,30,10,min,"4,0"
TV EM CORES - 14,60,30,5,h,"9,0"
TV EM CORES - 18,70,30,5,h,"10,5"
TV EM CORES - 20,90,30,5,h,"13,5"
TV EM CORES - 29,110,30,5,h,"16,5"
TV EM PRETO E BRANCO,40,30,5,h,"6,0"
TV PORTATIL,40,30,5,h,"6,0"
VENTILADOR DE TETO,120,30,8,h,"28,8"
VENTILADOR PEQUENO,65,30,8,h,"15,6"
VIDEOCASSETE,10,8,2,h,"0,16"
VIDEOGAME,15,15,4,h,"0,9"
